connections_version;connection_from;connection_fromLane;connection_to;connection_toLane
1.9;22672601#3;0;43118572#0;1
1.9;22697608#1;0;22697608#1.49;0
1.9;22697608#1;0;22697608#1.49;1
1.9;22697608#1;1;22697608#1.49;2
1.9;22697608#1;1;22697608#1.49;3
1.9;22697608#1.111;0;gneE121;0
1.9;22697608#1.111;1;47338631#0;0
1.9;22697608#1.111;2;47338631#0;1
1.9;22697608#1.111;3;47338631#0;2
1.9;22697608#1.49;0;22697608#1.111;0
1.9;22697608#1.49;1;22697608#1.111;0
1.9;22697608#1.49;1;22697608#1.111;1
1.9;22697608#1.49;2;22697608#1.111;2
1.9;22697608#1.49;3;22697608#1.111;3
1.9;22697609;0;554706397#0;0
1.9;22697609;1;554706397#0;1
1.9;22697739#0;0;-13792152#1;0
1.9;22697739#0;0;38839094;0
1.9;22697739#0;1;38839094;1
1.9;22697740#0;0;22697740#1;0
1.9;22697740#0;1;22697740#1;1
1.9;22697740#1;0;22697740#2;0
1.9;22697740#1;0;22697740#2;1
1.9;22697740#1;1;22697740#2;2
1.9;22697740#2;0;22697740#4;0
1.9;22697740#2;1;22697740#4;1
1.9;22697740#2;2;-22697759#3;0
1.9;22697740#4;0;22697740#5;0
1.9;22697740#4;1;22697740#5;1
1.9;22697740#5;0;22697740#6;0
1.9;22697740#5;1;22697740#6;1
1.9;22697740#6;0;142944224#0;0
1.9;22697740#6;1;142944224#0;1
1.9;22697759#2;0;606439147#5;0
1.9;22729789;0;22729790#0;0
1.9;22729789;1;22729790#0;1
1.9;22729789;2;22729790#0;2
1.9;22729790#0;0;22729790#1;0
1.9;22729790#0;1;22729790#1;1
1.9;22729790#0;2;22729790#1;2
1.9;22729790#1;0;22729790#2;0
1.9;22729790#1;1;22729790#2;1
1.9;22729790#1;2;22729790#2;2
1.9;22729790#2;0;35744220#1;0
1.9;22729790#2;0;43145233#1;0
1.9;22729790#2;1;43145233#1;1
1.9;22729790#2;2;43145233#1;2
1.9;22790157;0;4275525;0
1.9;22790157;1;4275525;1
1.9;22790157;2;4275525;2
1.9;22790157;2;4275525;3
1.9;22790360#0;0;22790360#2;0
1.9;22790360#2;0;6243186#1;0
1.9;22790360#2;0;44578241#1;1
1.9;22790360#2;0;44578241#1;2
1.9;22791190#0;0;gneE127;0
1.9;22791190#0;0;gneE127;1
1.9;22791191#0;0;22791191#1;0
